Kurulum,Model,Test RMSE,Train RMSE,Test/Train
"temel (lookback=20, hidden=32)",LSTM,58.05626561187865,4.788405780579934,12.124341225911587
"temel (lookback=20, hidden=32)",GRU,47.98774632857703,4.493816591632792,10.678617017420613
lookback=10,LSTM,59.090940312715674,4.955648845282964,11.923956308760943
lookback=10,GRU,47.84909455537148,4.9888216692814416,9.59126177028961
lookback=40,LSTM,56.70943740313709,4.759471275141511,11.915070839764859
lookback=40,GRU,47.8126294275292,4.426308115831332,10.801920737627913
hidden=16 (daha kucuk),LSTM,69.24449562525709,4.709845587044112,14.702073421628834
hidden=16 (daha kucuk),GRU,24.674036426085507,4.600473452387338,5.363368940490534
dropout=0.2,LSTM,62.5523416513988,5.072773489391693,12.330994431785644
dropout=0.2,GRU,46.27961834268708,5.198494212496459,8.902504542841905
